Year,Country,State,Bacteria,Antibiotic,Resistance%,Resistant_Count,Number_of_Isolates,Specimen_Type,Age_Group,Percent_Male,Lab_Method,MDR_Flag
2017,India,Maharashtra,E.coli,Ciprofloxacin,45.1,102,227,Blood,41-60,45,MIC (Automated),0
2017,India,Kerala,Staphylococcus aureus,Amikacin,20.5,59,290,Blood,Nov-20,45,Disk Diffusion,0
2021,Usa,New York,Klebsiella pneumoniae,Oxacillin,45.0,99,221,Wound,21-40,45,E-test,0
2020,Usa,New York,Klebsiella pneumoniae,Ciprofloxacin,39.4,70,178,Sputum,Nov-20,50,Disk Diffusion,0
2024,Uk,England,Staphylococcus aureus,Amikacin,33.3,41,123,Sputum,Nov-20,55,Disk Diffusion,0
2018,Usa,Texas,Klebsiella pneumoniae,Oxacillin,31.1,107,344,CSF,0-10,55,Broth Microdilution,0
2015,Uk,Scotland,E.coli,Ciprofloxacin,17.2,28,160,CSF,60+,55,Broth Microdilution,0
2018,Uk,Scotland,Pseudomonas aeruginosa,Meropenem,29.0,60,206,Sputum,Nov-20,50,MIC (Automated),0
2023,Usa,Florida,Klebsiella pneumoniae,Oxacillin,25.0,34,137,Blood,41-60,45,E-test,0
2023,Usa,New York,Staphylococcus aureus,Oxacillin,39.3,65,165,Urine,0-10,50,Disk Diffusion,0
2019,India,Kerala,Klebsiella pneumoniae,Meropenem,34.7,103,296,Blood,21-40,55,Disk Diffusion,0
2018,India,Kerala,Staphylococcus aureus,Oxacillin,28.4,114,401,Sputum,60+,55,E-test,0
2020,India,Tamil Nadu,Klebsiella pneumoniae,Ciprofloxacin,41.3,61,147,CSF,60+,50,Disk Diffusion,0
2018,Uk,Scotland,Pseudomonas aeruginosa,Amikacin,22.6,35,154,Blood,41-60,45,MIC (Automated),0
2019,Uk,England,Klebsiella pneumoniae,Amikacin,29.3,46,158,Wound,Nov-20,55,Disk Diffusion,0
2019,India,Kerala,E.coli,Amikacin,26.4,75,283,Sputum,60+,50,Broth Microdilution,0
2021,India,Tamil Nadu,Klebsiella pneumoniae,Oxacillin,40.5,171,423,Blood,60+,45,Disk Diffusion,0
2022,Uk,Northern Ireland,Klebsiella pneumoniae,Oxacillin,35.6,30,84,CSF,Nov-20,50,MIC (Automated),0
2023,Uk,England,Klebsiella pneumoniae,Oxacillin,37.2,52,139,CSF,41-60,50,Broth Microdilution,0
2020,India,Kerala,Staphylococcus aureus,Meropenem,37.7,99,262,Urine,0-10,55,MIC (Automated),0
2022,Usa,California,Staphylococcus aureus,Ciprofloxacin,32.1,63,197,Urine,21-40,55,Broth Microdilution,0
2015,Usa,Florida,Pseudomonas aeruginosa,Oxacillin,31.5,93,294,Blood,21-40,55,MIC (Automated),0
2019,Usa,California,E.coli,Oxacillin,38.6,62,160,Urine,21-40,50,E-test,0
2020,Usa,California,Staphylococcus aureus,Oxacillin,26.5,50,187,Blood,41-60,45,Broth Microdilution,0
2015,India,Tamil Nadu,E.coli,Oxacillin,33.9,10,30,Urine,Nov-20,50,E-test,0
2022,Usa,New York,Staphylococcus aureus,Ciprofloxacin,26.0,60,231,Urine,60+,50,MIC (Automated),0
2017,Uk,England,Staphylococcus aureus,Oxacillin,29.7,45,152,Wound,0-10,55,Broth Microdilution,0
2018,Usa,New York,Pseudomonas aeruginosa,Meropenem,26.4,44,167,Wound,60+,45,E-test,0
2021,Uk,England,Staphylococcus aureus,Meropenem,24.1,70,289,Blood,21-40,45,MIC (Automated),0
2016,Usa,Florida,E.coli,Amikacin,36.2,144,398,Urine,60+,55,E-test,0
2022,Usa,New York,Pseudomonas aeruginosa,Oxacillin,27.4,8,30,Blood,21-40,55,MIC (Automated),0
2016,Uk,Scotland,Klebsiella pneumoniae,Amikacin,31.2,84,270,CSF,Nov-20,45,Broth Microdilution,0
2017,Uk,Northern Ireland,Staphylococcus aureus,Meropenem,29.6,53,178,CSF,60+,45,MIC (Automated),0
2016,Usa,Florida,Staphylococcus aureus,Meropenem,12.2,31,254,Wound,0-10,55,MIC (Automated),0
2019,Uk,Scotland,Klebsiella pneumoniae,Oxacillin,36.0,45,125,Urine,60+,45,Broth Microdilution,0
2019,India,Tamil Nadu,Klebsiella pneumoniae,Ciprofloxacin,37.5,60,161,Urine,21-40,45,MIC (Automated),0
2019,India,Delhi,E.coli,Ciprofloxacin,33.2,72,218,Sputum,Nov-20,50,Disk Diffusion,0
2023,India,Maharashtra,E.coli,Ciprofloxacin,39.2,53,134,CSF,41-60,50,MIC (Automated),0
2024,Uk,Northern Ireland,Pseudomonas aeruginosa,Amikacin,31.2,56,179,CSF,41-60,45,MIC (Automated),0
2018,Usa,Florida,Klebsiella pneumoniae,Oxacillin,34.8,56,161,Sputum,60+,45,E-test,0
2020,Uk,Northern Ireland,Staphylococcus aureus,Ciprofloxacin,33.3,126,377,Urine,Nov-20,50,Disk Diffusion,0
2021,Uk,England,Klebsiella pneumoniae,Oxacillin,37.6,62,166,Wound,41-60,55,MIC (Automated),0
2015,India,Kerala,Pseudomonas aeruginosa,Amikacin,28.1,45,161,Urine,60+,55,E-test,0
2019,Uk,Northern Ireland,Klebsiella pneumoniae,Amikacin,35.2,58,164,Sputum,41-60,50,Broth Microdilution,0
2021,India,Delhi,Klebsiella pneumoniae,Ciprofloxacin,44.5,81,182,CSF,Nov-20,55,Disk Diffusion,0
2020,India,Kerala,Klebsiella pneumoniae,Amikacin,48.0,115,240,CSF,60+,55,Disk Diffusion,0
2017,India,Kerala,Staphylococcus aureus,Meropenem,29.9,31,104,CSF,0-10,45,E-test,0
2018,India,Kerala,Staphylococcus aureus,Meropenem,15.2,39,255,Sputum,41-60,50,MIC (Automated),0
2020,Usa,Texas,Pseudomonas aeruginosa,Ciprofloxacin,35.9,126,351,Urine,21-40,45,Broth Microdilution,0
2021,Uk,England,Pseudomonas aeruginosa,Ciprofloxacin,40.8,103,253,Sputum,21-40,45,MIC (Automated),0
2020,India,Maharashtra,E.coli,Meropenem,29.6,40,135,Wound,41-60,45,Disk Diffusion,0
2020,Usa,Texas,Klebsiella pneumoniae,Amikacin,29.0,73,251,Sputum,21-40,50,E-test,0
2019,Uk,Wales,Pseudomonas aeruginosa,Oxacillin,34.6,98,283,Blood,21-40,45,MIC (Automated),0
2021,India,Delhi,Staphylococcus aureus,Amikacin,33.2,64,193,Blood,41-60,45,E-test,0
2017,Usa,Texas,Staphylococcus aureus,Amikacin,24.6,25,100,Blood,21-40,55,Broth Microdilution,0
2021,India,Kerala,E.coli,Ciprofloxacin,40.2,59,146,Wound,41-60,50,E-test,0
2024,Uk,Scotland,Staphylococcus aureus,Amikacin,25.4,64,253,Wound,Nov-20,45,Disk Diffusion,0
2018,India,Maharashtra,Pseudomonas aeruginosa,Meropenem,25.0,38,151,Wound,Nov-20,55,MIC (Automated),0
2024,Uk,England,E.coli,Meropenem,33.3,114,341,Blood,Nov-20,45,MIC (Automated),0
2018,Usa,Texas,Staphylococcus aureus,Amikacin,24.1,40,166,Blood,0-10,50,MIC (Automated),0
2018,India,Delhi,Pseudomonas aeruginosa,Amikacin,41.8,112,267,Sputum,0-10,50,Broth Microdilution,0
2018,Uk,England,Klebsiella pneumoniae,Meropenem,24.2,18,74,Blood,Nov-20,55,Broth Microdilution,0
2024,Uk,Scotland,Staphylococcus aureus,Meropenem,26.2,76,290,CSF,0-10,45,MIC (Automated),0
2018,India,Tamil Nadu,Pseudomonas aeruginosa,Ciprofloxacin,29.3,70,239,Blood,Nov-20,55,E-test,0
2020,Uk,Scotland,E.coli,Amikacin,27.8,39,139,CSF,Nov-20,50,E-test,0
2016,India,Kerala,Staphylococcus aureus,Ciprofloxacin,43.0,101,236,Blood,41-60,50,Disk Diffusion,0
2024,India,Delhi,Pseudomonas aeruginosa,Oxacillin,42.4,57,134,Sputum,60+,50,Broth Microdilution,0
2015,Uk,Scotland,Staphylococcus aureus,Amikacin,20.2,66,329,Urine,21-40,45,Broth Microdilution,0
2016,Uk,England,Staphylococcus aureus,Ciprofloxacin,28.5,58,204,CSF,60+,55,E-test,0
2019,India,Delhi,Staphylococcus aureus,Amikacin,19.3,32,167,Blood,21-40,55,MIC (Automated),0
2019,India,Delhi,E.coli,Oxacillin,27.5,70,256,Urine,60+,45,E-test,0
2019,India,Maharashtra,E.coli,Oxacillin,37.8,90,238,Sputum,41-60,45,E-test,0
2021,Usa,Florida,Staphylococcus aureus,Meropenem,26.9,55,206,Urine,60+,55,Disk Diffusion,0
2022,Uk,Wales,E.coli,Meropenem,33.4,71,213,Sputum,41-60,50,Broth Microdilution,0
2024,Uk,Wales,Klebsiella pneumoniae,Ciprofloxacin,42.9,113,263,CSF,41-60,50,E-test,0
2022,Uk,Scotland,E.coli,Amikacin,26.6,70,264,Blood,21-40,45,MIC (Automated),0
2021,India,Maharashtra,Staphylococcus aureus,Meropenem,31.3,68,216,Urine,21-40,50,MIC (Automated),0
2022,Uk,Northern Ireland,Klebsiella pneumoniae,Amikacin,26.4,61,232,Urine,60+,55,E-test,0
2022,India,Tamil Nadu,Klebsiella pneumoniae,Meropenem,32.8,40,121,Urine,0-10,50,Disk Diffusion,0
2023,Uk,Scotland,Pseudomonas aeruginosa,Amikacin,33.2,101,305,Blood,60+,45,MIC (Automated),0
2015,Usa,California,Staphylococcus aureus,Amikacin,17.9,51,284,Blood,41-60,55,MIC (Automated),0
2018,Uk,Scotland,E.coli,Amikacin,28.9,86,296,Sputum,41-60,55,Broth Microdilution,0
2019,India,Delhi,Pseudomonas aeruginosa,Meropenem,40.7,135,331,Sputum,Nov-20,50,MIC (Automated),0
2020,Uk,England,Klebsiella pneumoniae,Oxacillin,30.3,29,97,Blood,60+,45,Disk Diffusion,0
2020,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,14.3,27,186,CSF,0-10,45,MIC (Automated),0
2023,Uk,Wales,Staphylococcus aureus,Ciprofloxacin,37.1,81,217,Sputum,Nov-20,50,Disk Diffusion,0
2021,Uk,Wales,Klebsiella pneumoniae,Oxacillin,40.2,115,287,Urine,21-40,55,Broth Microdilution,0
2020,Uk,Wales,E.coli,Amikacin,31.8,72,226,Wound,0-10,50,MIC (Automated),0
2018,Uk,Wales,Pseudomonas aeruginosa,Ciprofloxacin,31.7,14,43,Blood,Nov-20,45,MIC (Automated),0
2021,Uk,Wales,Pseudomonas aeruginosa,Meropenem,28.2,63,222,Sputum,41-60,55,Broth Microdilution,0
2023,Uk,England,Klebsiella pneumoniae,Amikacin,30.6,64,209,Blood,0-10,50,Broth Microdilution,0
2018,Uk,Scotland,E.coli,Oxacillin,26.9,39,146,Wound,21-40,55,Disk Diffusion,0
2015,Uk,Wales,Staphylococcus aureus,Ciprofloxacin,32.0,24,74,Sputum,41-60,55,Disk Diffusion,0
2021,Uk,Scotland,Pseudomonas aeruginosa,Oxacillin,30.7,79,257,CSF,41-60,50,E-test,0
2020,Usa,Florida,Klebsiella pneumoniae,Amikacin,32.9,55,167,CSF,0-10,45,Broth Microdilution,0
2015,India,Delhi,Pseudomonas aeruginosa,Amikacin,27.1,52,192,Wound,0-10,50,Broth Microdilution,0
2017,India,Kerala,Pseudomonas aeruginosa,Ciprofloxacin,31.5,57,182,Urine,41-60,50,Disk Diffusion,0
2018,Uk,Scotland,Pseudomonas aeruginosa,Ciprofloxacin,34.9,97,277,Wound,60+,50,Disk Diffusion,0
2023,India,Kerala,Staphylococcus aureus,Oxacillin,41.3,54,130,CSF,0-10,55,MIC (Automated),0
2023,Usa,Texas,E.coli,Oxacillin,35.9,65,181,Wound,Nov-20,50,Broth Microdilution,0
2016,India,Maharashtra,Staphylococcus aureus,Meropenem,21.9,62,283,CSF,0-10,55,MIC (Automated),0
2021,Uk,England,E.coli,Ciprofloxacin,21.9,48,218,Blood,0-10,45,Disk Diffusion,0
2015,India,Maharashtra,Staphylococcus aureus,Ciprofloxacin,46.6,55,119,Blood,Nov-20,45,E-test,0
2023,Uk,Wales,Staphylococcus aureus,Oxacillin,26.5,56,213,Blood,60+,45,Broth Microdilution,0
2022,India,Kerala,Pseudomonas aeruginosa,Oxacillin,35.8,82,229,Sputum,60+,50,Disk Diffusion,0
2017,India,Kerala,Klebsiella pneumoniae,Oxacillin,34.2,27,79,Blood,21-40,45,E-test,0
2023,Uk,England,E.coli,Amikacin,33.7,69,206,Urine,0-10,45,Broth Microdilution,0
2016,Uk,England,Klebsiella pneumoniae,Meropenem,20.4,27,132,CSF,60+,55,MIC (Automated),0
2018,Usa,New York,E.coli,Amikacin,29.2,91,313,Urine,0-10,55,Broth Microdilution,0
2022,Usa,New York,Pseudomonas aeruginosa,Ciprofloxacin,36.5,41,112,Wound,41-60,45,Disk Diffusion,0
2022,Usa,California,E.coli,Oxacillin,35.6,96,269,Sputum,0-10,55,Broth Microdilution,0
2023,Usa,New York,E.coli,Ciprofloxacin,31.6,40,127,Urine,41-60,55,Broth Microdilution,0
2019,India,Kerala,Klebsiella pneumoniae,Amikacin,28.5,40,141,Blood,0-10,45,Broth Microdilution,0
2016,India,Tamil Nadu,Klebsiella pneumoniae,Oxacillin,30.0,27,90,Sputum,0-10,50,MIC (Automated),0
2017,Uk,England,Pseudomonas aeruginosa,Ciprofloxacin,26.7,31,115,CSF,Nov-20,55,Broth Microdilution,0
2024,India,Maharashtra,Staphylococcus aureus,Amikacin,32.3,26,80,Urine,21-40,55,Disk Diffusion,0
2016,India,Tamil Nadu,Klebsiella pneumoniae,Amikacin,25.6,66,258,CSF,Nov-20,45,MIC (Automated),0
2020,Usa,New York,Staphylococcus aureus,Amikacin,18.7,50,268,Blood,Nov-20,55,Broth Microdilution,0
2024,India,Kerala,Pseudomonas aeruginosa,Ciprofloxacin,45.2,116,256,CSF,Nov-20,50,MIC (Automated),0
2021,India,Kerala,Staphylococcus aureus,Oxacillin,31.2,76,244,Sputum,41-60,55,Broth Microdilution,0
2017,India,Delhi,E.coli,Amikacin,25.8,35,136,Urine,0-10,55,Broth Microdilution,0
2018,Uk,England,E.coli,Meropenem,28.0,85,302,Blood,21-40,50,MIC (Automated),0
2017,Uk,Wales,Klebsiella pneumoniae,Meropenem,27.0,69,254,Wound,41-60,55,MIC (Automated),0
2023,India,Kerala,Pseudomonas aeruginosa,Meropenem,25.8,72,281,CSF,41-60,55,MIC (Automated),0
2022,Uk,Northern Ireland,Staphylococcus aureus,Meropenem,38.7,75,193,Sputum,Nov-20,45,Disk Diffusion,0
2020,Uk,England,E.coli,Meropenem,35.3,104,296,Wound,0-10,45,Disk Diffusion,0
2016,Usa,Florida,E.coli,Oxacillin,37.3,95,255,Blood,41-60,55,MIC (Automated),0
2015,Usa,California,Klebsiella pneumoniae,Meropenem,20.9,27,128,Urine,60+,55,Broth Microdilution,0
2024,India,Kerala,E.coli,Oxacillin,35.5,66,186,Wound,0-10,50,MIC (Automated),0
2021,Usa,New York,Pseudomonas aeruginosa,Meropenem,35.0,60,170,Sputum,60+,50,Disk Diffusion,0
2018,India,Kerala,Klebsiella pneumoniae,Meropenem,34.2,41,120,Wound,21-40,55,E-test,0
2020,Uk,England,Pseudomonas aeruginosa,Ciprofloxacin,29.7,88,295,Urine,21-40,45,E-test,0
2021,Uk,Northern Ireland,Pseudomonas aeruginosa,Amikacin,30.8,78,254,Blood,41-60,50,Disk Diffusion,0
2019,India,Delhi,Klebsiella pneumoniae,Oxacillin,41.1,91,221,Blood,41-60,55,Broth Microdilution,0
2015,Usa,Florida,Staphylococcus aureus,Ciprofloxacin,25.0,40,159,Sputum,21-40,45,Disk Diffusion,0
2017,Uk,Wales,Pseudomonas aeruginosa,Meropenem,27.8,71,257,Urine,Nov-20,50,Broth Microdilution,0
2017,India,Maharashtra,E.coli,Oxacillin,39.6,31,79,Sputum,41-60,50,E-test,0
2015,Uk,Wales,Pseudomonas aeruginosa,Amikacin,27.9,39,138,Urine,41-60,50,Disk Diffusion,0
2018,India,Delhi,Staphylococcus aureus,Oxacillin,32.0,10,32,Blood,Nov-20,50,MIC (Automated),0
2015,India,Kerala,Staphylococcus aureus,Amikacin,18.0,48,267,Wound,21-40,45,MIC (Automated),0
2016,Usa,California,Staphylococcus aureus,Meropenem,24.1,32,131,Wound,41-60,45,Broth Microdilution,0
2015,India,Kerala,Staphylococcus aureus,Oxacillin,42.1,66,156,Sputum,60+,50,MIC (Automated),0
2021,India,Delhi,Staphylococcus aureus,Meropenem,34.4,10,30,Sputum,21-40,50,Disk Diffusion,0
2016,India,Tamil Nadu,Pseudomonas aeruginosa,Meropenem,25.0,50,198,Sputum,41-60,45,Disk Diffusion,0
2022,Usa,Florida,E.coli,Oxacillin,40.4,43,106,Blood,0-10,50,Broth Microdilution,0
2020,Usa,New York,E.coli,Ciprofloxacin,39.1,117,298,CSF,41-60,45,E-test,0
2019,Uk,Northern Ireland,E.coli,Oxacillin,31.9,82,258,Blood,0-10,45,Disk Diffusion,0
2016,Usa,New York,Pseudomonas aeruginosa,Oxacillin,26.6,13,49,Sputum,60+,45,MIC (Automated),0
2024,India,Delhi,E.coli,Amikacin,39.6,78,196,CSF,21-40,45,Broth Microdilution,0
2017,Usa,Texas,Klebsiella pneumoniae,Meropenem,19.5,75,383,Sputum,0-10,50,Broth Microdilution,0
2020,Usa,California,Staphylococcus aureus,Meropenem,27.0,45,165,Urine,0-10,50,Disk Diffusion,0
2016,Uk,England,Klebsiella pneumoniae,Oxacillin,25.7,60,232,Blood,21-40,50,MIC (Automated),0
2022,Uk,Wales,Pseudomonas aeruginosa,Ciprofloxacin,39.0,59,152,Wound,60+,50,E-test,0
2015,Uk,Scotland,E.coli,Oxacillin,16.1,14,85,Urine,21-40,45,Broth Microdilution,0
2016,India,Maharashtra,Staphylococcus aureus,Oxacillin,26.7,41,155,Wound,0-10,55,Broth Microdilution,0
2019,India,Maharashtra,E.coli,Meropenem,33.8,70,206,Wound,Nov-20,55,E-test,0
2024,Uk,England,Staphylococcus aureus,Oxacillin,30.2,9,30,CSF,60+,50,E-test,0
2019,India,Maharashtra,Staphylococcus aureus,Ciprofloxacin,29.6,31,106,CSF,21-40,55,MIC (Automated),0
2021,India,Kerala,Staphylococcus aureus,Amikacin,30.6,15,48,Sputum,21-40,55,Broth Microdilution,0
2022,Usa,Texas,Pseudomonas aeruginosa,Amikacin,21.9,34,157,CSF,21-40,55,Disk Diffusion,0
2024,Usa,Florida,Staphylococcus aureus,Meropenem,32.5,87,268,Sputum,41-60,45,E-test,0
2018,Usa,New York,Staphylococcus aureus,Meropenem,30.6,76,247,Blood,Nov-20,50,MIC (Automated),0
2019,Usa,New York,Staphylococcus aureus,Amikacin,29.1,35,119,Urine,21-40,55,Disk Diffusion,0
2020,India,Delhi,Staphylococcus aureus,Amikacin,18.9,34,179,CSF,0-10,50,E-test,0
2018,Uk,Wales,Staphylococcus aureus,Ciprofloxacin,32.8,17,53,Blood,0-10,45,MIC (Automated),0
2020,Uk,England,Staphylococcus aureus,Meropenem,38.5,93,241,Sputum,60+,50,Disk Diffusion,0
2023,Usa,New York,Pseudomonas aeruginosa,Oxacillin,39.5,54,136,Urine,21-40,50,MIC (Automated),0
2023,Uk,England,Pseudomonas aeruginosa,Meropenem,32.5,55,168,Blood,41-60,55,Disk Diffusion,0
2017,Uk,Scotland,Staphylococcus aureus,Oxacillin,34.5,59,171,Urine,0-10,45,MIC (Automated),0
2015,India,Maharashtra,Staphylococcus aureus,Amikacin,30.7,47,152,Wound,41-60,45,Disk Diffusion,0
2021,Uk,Northern Ireland,Staphylococcus aureus,Oxacillin,26.7,58,217,Wound,21-40,50,MIC (Automated),0
2017,Usa,Florida,Pseudomonas aeruginosa,Amikacin,17.9,24,135,Sputum,60+,50,E-test,0
2017,Usa,Florida,Pseudomonas aeruginosa,Oxacillin,32.9,89,272,Urine,21-40,55,E-test,0
2022,Uk,England,Klebsiella pneumoniae,Oxacillin,43.2,98,226,Wound,0-10,45,Disk Diffusion,0
2016,India,Delhi,Klebsiella pneumoniae,Meropenem,28.6,15,52,Blood,Nov-20,50,Disk Diffusion,0
2023,India,Delhi,Staphylococcus aureus,Oxacillin,38.9,68,176,CSF,0-10,45,E-test,0
2021,Usa,Texas,Pseudomonas aeruginosa,Ciprofloxacin,37.3,129,346,CSF,0-10,50,E-test,0
2017,Usa,California,Klebsiella pneumoniae,Amikacin,33.7,69,206,Blood,0-10,45,MIC (Automated),0
2019,Usa,California,Klebsiella pneumoniae,Meropenem,33.2,61,184,Sputum,21-40,50,MIC (Automated),0
2018,Uk,England,Klebsiella pneumoniae,Ciprofloxacin,38.3,61,159,Blood,0-10,50,E-test,0
2023,India,Delhi,Staphylococcus aureus,Ciprofloxacin,39.7,135,339,Wound,21-40,55,Broth Microdilution,0
2016,Uk,Scotland,Klebsiella pneumoniae,Oxacillin,36.2,73,201,CSF,60+,45,Disk Diffusion,0
2020,India,Kerala,Staphylococcus aureus,Amikacin,26.0,83,318,CSF,Nov-20,45,Broth Microdilution,0
2019,Usa,New York,Pseudomonas aeruginosa,Amikacin,26.5,48,180,Blood,21-40,45,Broth Microdilution,0
2022,Usa,California,Pseudomonas aeruginosa,Amikacin,36.9,100,271,Sputum,41-60,50,Disk Diffusion,0
2024,Usa,Texas,Klebsiella pneumoniae,Meropenem,33.5,72,215,Wound,60+,50,MIC (Automated),0
2020,Uk,Northern Ireland,E.coli,Meropenem,25.7,72,282,Urine,0-10,50,E-test,0
2017,India,Maharashtra,E.coli,Meropenem,23.6,54,229,Blood,21-40,45,E-test,0
2019,Uk,Scotland,Klebsiella pneumoniae,Amikacin,28.1,62,222,Urine,Nov-20,50,MIC (Automated),0
2015,India,Maharashtra,E.coli,Amikacin,25.0,74,294,Urine,21-40,50,Broth Microdilution,0
2017,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,40.8,49,120,Blood,Nov-20,50,E-test,0
2016,Uk,England,E.coli,Ciprofloxacin,19.4,55,281,Urine,Nov-20,50,MIC (Automated),0
2023,Uk,Wales,Pseudomonas aeruginosa,Ciprofloxacin,36.5,91,248,Blood,21-40,45,MIC (Automated),0
2015,India,Maharashtra,Pseudomonas aeruginosa,Meropenem,36.6,64,174,Sputum,60+,50,E-test,0
2015,Uk,Northern Ireland,Klebsiella pneumoniae,Ciprofloxacin,34.2,39,113,Urine,60+,50,E-test,0
2016,Uk,Scotland,E.coli,Meropenem,25.1,100,399,Sputum,21-40,55,Broth Microdilution,0
2024,Uk,Wales,Staphylococcus aureus,Meropenem,19.1,16,85,CSF,Nov-20,45,E-test,0
2016,Usa,California,Pseudomonas aeruginosa,Meropenem,29.9,83,276,Urine,0-10,55,Broth Microdilution,0
2017,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,27.4,28,101,Wound,0-10,45,MIC (Automated),0
2022,Usa,New York,E.coli,Oxacillin,34.2,108,316,Urine,41-60,55,Broth Microdilution,0
2015,Usa,New York,Pseudomonas aeruginosa,Meropenem,23.8,25,105,Wound,21-40,55,MIC (Automated),0
2018,Usa,Texas,E.coli,Amikacin,20.2,49,242,Sputum,21-40,45,Broth Microdilution,0
2020,Usa,Florida,Staphylococcus aureus,Meropenem,31.2,59,190,Blood,41-60,55,MIC (Automated),0
2017,India,Delhi,Staphylococcus aureus,Meropenem,18.0,18,98,Blood,21-40,50,MIC (Automated),0
2016,India,Delhi,Klebsiella pneumoniae,Amikacin,20.2,60,296,CSF,Nov-20,55,Broth Microdilution,0
2016,Uk,Northern Ireland,E.coli,Amikacin,23.7,60,254,CSF,0-10,50,E-test,0
2016,Usa,Texas,Pseudomonas aeruginosa,Meropenem,18.9,32,171,Sputum,21-40,50,Disk Diffusion,0
2020,India,Kerala,E.coli,Ciprofloxacin,40.1,102,255,Sputum,21-40,55,E-test,0
2022,Uk,Scotland,Staphylococcus aureus,Amikacin,34.3,60,175,Urine,21-40,50,Broth Microdilution,0
2024,Uk,Wales,Klebsiella pneumoniae,Amikacin,32.3,111,345,Blood,60+,55,E-test,0
2020,India,Maharashtra,E.coli,Amikacin,31.4,41,131,Urine,Nov-20,50,Broth Microdilution,0
2019,Uk,Scotland,E.coli,Meropenem,25.9,71,275,Urine,60+,55,MIC (Automated),0
2022,Uk,Scotland,Klebsiella pneumoniae,Ciprofloxacin,29.1,29,101,CSF,0-10,45,E-test,0
2019,India,Kerala,Pseudomonas aeruginosa,Amikacin,26.8,33,122,CSF,0-10,55,Broth Microdilution,0
2017,Usa,California,Klebsiella pneumoniae,Oxacillin,39.0,82,211,Sputum,60+,55,Disk Diffusion,0
2019,India,Delhi,E.coli,Amikacin,28.7,57,199,CSF,Nov-20,50,MIC (Automated),0
2022,Usa,Florida,Staphylococcus aureus,Oxacillin,31.6,59,187,Sputum,Nov-20,55,MIC (Automated),0
2021,Uk,Wales,E.coli,Amikacin,33.5,41,122,Blood,Nov-20,50,E-test,0
2019,Uk,Wales,Klebsiella pneumoniae,Oxacillin,35.6,73,204,Blood,Nov-20,45,Disk Diffusion,0
2015,Uk,Northern Ireland,Klebsiella pneumoniae,Meropenem,30.9,87,282,Urine,Nov-20,55,E-test,0
2019,Usa,New York,E.coli,Ciprofloxacin,40.0,136,340,Sputum,60+,45,MIC (Automated),0
2021,Uk,Wales,Klebsiella pneumoniae,Amikacin,29.7,23,77,CSF,0-10,45,Broth Microdilution,0
2020,India,Kerala,Klebsiella pneumoniae,Oxacillin,46.9,123,263,Sputum,21-40,55,Disk Diffusion,0
2023,India,Maharashtra,E.coli,Oxacillin,32.3,48,148,Blood,0-10,45,MIC (Automated),0
2020,India,Tamil Nadu,E.coli,Amikacin,22.4,51,226,CSF,21-40,45,MIC (Automated),0
2020,India,Maharashtra,Staphylococcus aureus,Meropenem,21.3,28,130,Sputum,41-60,55,Disk Diffusion,0
2021,Usa,California,Staphylococcus aureus,Meropenem,33.3,63,188,Sputum,41-60,55,Broth Microdilution,0
2017,Usa,California,Pseudomonas aeruginosa,Amikacin,27.7,54,196,CSF,60+,55,MIC (Automated),0
2015,Usa,Texas,Staphylococcus aureus,Oxacillin,26.3,35,134,Sputum,21-40,55,MIC (Automated),0
2024,India,Kerala,Klebsiella pneumoniae,Ciprofloxacin,56.0,102,183,Blood,0-10,50,E-test,1
2021,Uk,Scotland,E.coli,Oxacillin,29.2,87,299,Urine,Nov-20,45,MIC (Automated),0
2017,Uk,Northern Ireland,E.coli,Oxacillin,21.0,39,186,Wound,0-10,45,MIC (Automated),0
2022,Usa,Texas,E.coli,Amikacin,30.8,51,165,Blood,0-10,45,Broth Microdilution,0
2022,India,Kerala,Klebsiella pneumoniae,Oxacillin,49.1,74,151,Sputum,41-60,50,Broth Microdilution,0
2018,Usa,Texas,Pseudomonas aeruginosa,Meropenem,29.8,28,94,Urine,60+,50,E-test,0
2020,India,Delhi,Pseudomonas aeruginosa,Meropenem,45.6,91,200,CSF,Nov-20,45,Disk Diffusion,0
2021,Usa,New York,E.coli,Ciprofloxacin,37.5,86,229,Blood,0-10,55,Disk Diffusion,0
2024,India,Maharashtra,E.coli,Oxacillin,45.5,99,217,Urine,0-10,50,MIC (Automated),0
2024,Usa,Texas,E.coli,Ciprofloxacin,43.5,81,187,CSF,21-40,45,Disk Diffusion,0
2017,Uk,Wales,E.coli,Oxacillin,31.8,98,308,Wound,21-40,45,Broth Microdilution,0
2016,Uk,Scotland,Pseudomonas aeruginosa,Ciprofloxacin,28.8,34,117,Sputum,21-40,50,MIC (Automated),0
2023,Uk,Scotland,E.coli,Ciprofloxacin,37.9,85,225,Sputum,0-10,45,E-test,0
2020,Uk,England,Pseudomonas aeruginosa,Oxacillin,27.2,45,164,Urine,60+,55,MIC (Automated),0
2020,Usa,New York,Pseudomonas aeruginosa,Ciprofloxacin,28.3,53,186,Blood,41-60,50,Disk Diffusion,0
2023,India,Kerala,Klebsiella pneumoniae,Meropenem,41.5,98,237,Urine,41-60,50,Broth Microdilution,0
